epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1965.28,0.24153,0.21717,0.82211,0.85465,0.66106,0.80018,0.57733,1.1232,1.07336,1.7196,0.000472875,0.000472875,0.000472875
85,1988.13,0.23729,0.21072,0.8308,0.77457,0.70118,0.79807,0.58155,1.09701,1.08406,1.66897,0.0004605,0.0004605,0.0004605
86,2010.96,0.2281,0.20584,0.82636,0.84641,0.6568,0.79101,0.57133,1.09072,1.08666,1.68772,0.000448125,0.000448125,0.000448125
87,2033.75,0.22884,0.20792,0.82554,0.85387,0.67419,0.79687,0.57491,1.12472,1.06837,1.71991,0.00043575,0.00043575,0.00043575
88,2056.55,0.22771,0.20456,0.83304,0.7825,0.71006,0.78418,0.57624,1.09305,1.06289,1.686,0.000423375,0.000423375,0.000423375
89,2079.34,0.22584,0.20858,0.82391,0.85854,0.66864,0.80061,0.58647,1.07401,1.08528,1.64512,0.000411,0.000411,0.000411
90,2102.3,0.21936,0.20216,0.81993,0.83313,0.70118,0.79757,0.57688,1.08984,1.1114,1.6675,0.000398625,0.000398625,0.000398625
91,2125.17,0.21198,0.19375,0.81998,0.83821,0.67442,0.78543,0.58357,1.05131,1.15803,1.63192,0.00038625,0.00038625,0.00038625
92,2149.6,0.22399,0.20557,0.82534,0.86566,0.64819,0.77082,0.57231,1.06483,1.10926,1.6459,0.000373875,0.000373875,0.000373875
93,2173.62,0.21499,0.20478,0.82454,0.81376,0.69806,0.79438,0.58463,1.05113,1.05684,1.61926,0.0003615,0.0003615,0.0003615
94,2196.98,0.20903,0.19177,0.81469,0.82288,0.71302,0.78944,0.5871,1.05908,1.20428,1.62755,0.000349125,0.000349125,0.000349125
95,2219.95,0.20629,0.18995,0.80935,0.80327,0.73689,0.79269,0.58774,1.06791,1.07426,1.63375,0.00033675,0.00033675,0.00033675
96,2243.04,0.20278,0.18497,0.8164,0.81815,0.70414,0.78787,0.57852,1.06864,1.08112,1.63499,0.000324375,0.000324375,0.000324375
97,2265.91,0.20923,0.19322,0.82221,0.84865,0.69231,0.78915,0.58194,1.04716,1.0763,1.63727,0.000312,0.000312,0.000312
98,2288.79,0.20226,0.19358,0.81906,0.79196,0.72189,0.79501,0.58363,1.06069,1.02474,1.66378,0.000299625,0.000299625,0.000299625
99,2311.65,0.19473,0.18165,0.81688,0.82292,0.71496,0.79561,0.59073,1.06076,1.08346,1.65987,0.00028725,0.00028725,0.00028725
100,2334.63,0.19995,0.18703,0.81296,0.8478,0.68935,0.78717,0.57897,1.06988,1.06469,1.68257,0.000274875,0.000274875,0.000274875
101,2363.94,0.15787,0.14104,0.78368,0.85318,0.68935,0.79897,0.5953,1.06219,1.07828,1.67803,0.0002625,0.0002625,0.0002625
102,2386.85,0.15555,0.13934,0.78966,0.82456,0.69231,0.80152,0.60012,1.05691,1.12746,1.66887,0.000250125,0.000250125,0.000250125
103,2409.74,0.15206,0.13562,0.78347,0.83012,0.70118,0.79831,0.60365,1.03505,1.1014,1.64595,0.00023775,0.00023775,0.00023775
104,2432.63,0.14763,0.13292,0.78166,0.84098,0.67278,0.78949,0.60207,1.04497,1.14872,1.62715,0.000225375,0.000225375,0.000225375
105,2455.37,0.14587,0.13056,0.78184,0.81511,0.69527,0.79486,0.60289,1.03311,1.11151,1.65421,0.000213,0.000213,0.000213
106,2478.21,0.14433,0.13046,0.78342,0.8127,0.7071,0.79838,0.60447,1.0455,1.08123,1.67789,0.000200625,0.000200625,0.000200625
107,2501.16,0.14101,0.12582,0.78214,0.82167,0.69231,0.79494,0.60538,1.03894,1.09467,1.65907,0.00018825,0.00018825,0.00018825
108,2524.13,0.13766,0.12637,0.78135,0.83056,0.68047,0.80054,0.60659,1.03656,1.09372,1.67978,0.000175875,0.000175875,0.000175875
109,2547.33,0.13522,0.12326,0.77926,0.83686,0.67751,0.79861,0.59782,1.03139,1.06402,1.67404,0.0001635,0.0001635,0.0001635
110,2570.12,0.13423,0.12406,0.77766,0.8104,0.70414,0.80275,0.60166,1.0463,1.07035,1.70471,0.000151125,0.000151125,0.000151125
111,2592.89,0.13027,0.1204,0.7825,0.81225,0.70397,0.80123,0.60024,1.05275,1.05891,1.70347,0.00013875,0.00013875,0.00013875
112,2615.65,0.12868,0.11904,0.77795,0.83111,0.69884,0.80626,0.59915,1.04045,1.0594,1.69633,0.000126375,0.000126375,0.000126375
113,2638.35,0.12702,0.11722,0.78139,0.82845,0.69822,0.80625,0.60319,1.03649,1.09501,1.69179,0.000114,0.000114,0.000114
114,2661.11,0.12255,0.11854,0.78193,0.84189,0.69316,0.80035,0.59893,1.03765,1.11105,1.67869,0.000101625,0.000101625,0.000101625
115,2683.84,0.12306,0.11587,0.78066,0.84829,0.69483,0.80421,0.59935,1.03159,1.10885,1.68386,8.925e-05,8.925e-05,8.925e-05
116,2706.59,0.12145,0.11493,0.77336,0.85696,0.68343,0.80464,0.59994,1.03584,1.07745,1.68783,7.6875e-05,7.6875e-05,7.6875e-05
117,2729.34,0.11786,0.11196,0.77941,0.84074,0.68639,0.80711,0.60185,1.03539,1.09807,1.6872,6.45e-05,6.45e-05,6.45e-05
118,2752.08,0.11787,0.11173,0.77152,0.85125,0.68935,0.80329,0.59858,1.03134,1.09375,1.69397,5.2125e-05,5.2125e-05,5.2125e-05
119,2774.85,0.11531,0.10969,0.77185,0.84476,0.69228,0.80468,0.60378,1.02979,1.08609,1.68354,3.975e-05,3.975e-05,3.975e-05
120,2797.68,0.11575,0.10965,0.77665,0.84716,0.68935,0.80505,0.60708,1.03313,1.06264,1.69262,2.7375e-05,2.7375e-05,2.7375e-05
